month,segment,churn_rate,retained_customers
2024-01,SMB,0.0502,1633
2024-01,Mid-Market,0.0664,1911
2024-01,Enterprise,0.0219,3878
2024-01,Consumer,0.0611,2794
2024-02,SMB,0.0477,2101
2024-02,Mid-Market,0.0286,4538
2024-02,Enterprise,0.0562,3755
2024-02,Consumer,0.068,1475
2024-03,SMB,0.1351,2883
2024-03,Mid-Market,0.0592,3652
2024-03,Enterprise,0.0849,1617
2024-03,Consumer,0.1126,4441
2024-04,SMB,0.1488,4683
2024-04,Mid-Market,0.094,2231
2024-04,Enterprise,0.1447,3657
2024-04,Consumer,0.0622,3784
2024-05,SMB,0.1105,3976
2024-05,Mid-Market,0.1402,4359
2024-05,Enterprise,0.1102,2560
2024-05,Consumer,0.0428,4319
2024-06,SMB,0.1349,2502
2024-06,Mid-Market,0.1471,3929
2024-06,Enterprise,0.0827,2572
2024-06,Consumer,0.0223,4935
2024-07,SMB,0.0961,2766
2024-07,Mid-Market,0.0864,4238
2024-07,Enterprise,0.0502,3606
2024-07,Consumer,0.1116,1254
2024-08,SMB,0.0502,3724
2024-08,Mid-Market,0.1187,1708
2024-08,Enterprise,0.0602,4222
2024-08,Consumer,0.0757,2197
2024-09,SMB,0.1006,1445
2024-09,Mid-Market,0.0379,3242
2024-09,Enterprise,0.0586,1821
2024-09,Consumer,0.0688,3829
2024-10,SMB,0.0249,4982
2024-10,Mid-Market,0.1143,3017
2024-10,Enterprise,0.1161,2546
2024-10,Consumer,0.0375,2500
2024-11,SMB,0.1037,4314
2024-11,Mid-Market,0.0251,4443
2024-11,Enterprise,0.1471,3854
2024-11,Consumer,0.1257,4274
2024-12,SMB,0.0231,4669
2024-12,Mid-Market,0.1153,2603
2024-12,Enterprise,0.0515,3409
2024-12,Consumer,0.027,4958
2025-01,SMB,0.1065,2217
2025-01,Mid-Market,0.1242,4051
2025-01,Enterprise,0.1135,3690
2025-01,Consumer,0.1335,3335
2025-02,SMB,0.0618,3011
2025-02,Mid-Market,0.1019,1464
2025-02,Enterprise,0.1331,1486
2025-02,Consumer,0.144,1413
2025-03,SMB,0.1025,1779
2025-03,Mid-Market,0.142,1714
2025-03,Enterprise,0.0319,3627
2025-03,Consumer,0.0914,4457
2025-04,SMB,0.1411,2167
2025-04,Mid-Market,0.086,2945
2025-04,Enterprise,0.1142,2475
2025-04,Consumer,0.0413,2009
2025-05,SMB,0.0518,1922
2025-05,Mid-Market,0.0988,2441
2025-05,Enterprise,0.0571,3036
2025-05,Consumer,0.1458,2024
2025-06,SMB,0.0553,4400
2025-06,Mid-Market,0.0826,2672
2025-06,Enterprise,0.0718,1887
2025-06,Consumer,0.0812,2931
2025-07,SMB,0.0857,4210
2025-07,Mid-Market,0.0763,1838
2025-07,Enterprise,0.1265,4450
2025-07,Consumer,0.0827,4320
2025-08,SMB,0.0696,4698
2025-08,Mid-Market,0.0308,4912
2025-08,Enterprise,0.1398,3637
2025-08,Consumer,0.0898,3464
2025-09,SMB,0.1145,2253
2025-09,Mid-Market,0.0695,2452
2025-09,Enterprise,0.079,2736
2025-09,Consumer,0.0931,3169
2025-10,SMB,0.0294,1759
2025-10,Mid-Market,0.1129,2001
2025-10,Enterprise,0.0401,1976
2025-10,Consumer,0.0205,4729
2025-11,SMB,0.0851,4171
2025-11,Mid-Market,0.0687,2857
2025-11,Enterprise,0.1403,2816
2025-11,Consumer,0.1462,2728
2025-12,SMB,0.0699,2460
2025-12,Mid-Market,0.1033,3609
2025-12,Enterprise,0.0293,4824
2025-12,Consumer,0.025,4974
